YEAR,STATE,CANCER_RATE,CANCER_DEATHS
2015,AZ,141.3,"11,776"
2015,AR,185.4,"6,727"
2015,CA,142.8,"59,629"
2015,CO,134.4,"7,604"
2015,CT,146.2,"6,666"
2015,DE,165.6,"2,010"
2015,FL,150.6,"44,027"
2015,GA,163,"16,945"
2015,HI,135.3,"2,462"
2015,ID,153.6,"2,849"
2015,IL,167.6,"24,713"
2015,IN,176.3,"13,511"
2015,IA,164.1,"6,513"
2015,KS,164.6,"5,604"
2015,KY,195.9,"10,312"
2015,LA,180.2,"9,397"
2015,ME,178,"3,398"
2015,MD,155,"10,568"
2015,MA,152.9,"12,750"
2015,MI,168,"20,732"
2015,MN,153,"9,925"
2015,MS,188.4,"6,485"
2015,MO,173.4,"12,965"
2015,MT,156.9,"2,130"
2015,NE,157.8,"3,514"
2015,NV,157.2,"5,015"
2015,NH,161.3,"2,773"
2015,NJ,150.8,"16,270"
2015,NM,143.3,"3,591"
2015,NY,148.4,"35,089"
2015,NC,164.7,"19,322"
2015,ND,152.9,"1,320"
2015,OH,175.1,"25,396"
2015,OK,184.3,"8,280"
2015,OR,160.2,"8,093"
2015,PA,167.2,"28,697"
2015,RI,163.1,"2,226"
2015,SC,166.6,"9,950"
2015,SD,154,"1,640"
2015,TN,180.5,"14,214"
2015,TX,149.2,"39,121"
2015,UT,125.2,"3,091"
2015,VT,165.3,"1,399"
2015,VA,159.5,"14,947"
2015,WA,156.4,"12,687"
2015,WV,190.4,"4,839"
2015,WI,159.3,"11,423"
2015,WY,139.4,931
2014,AL,177.6,"10,286"
2014,AK,164.2,972
2014,AZ,142.7,"11,455"
2014,AR,183.1,"6,546"
2014,CA,144.1,"58,412"
2014,CO,136,"7,405"
2014,CT,146.7,"6,621"
2014,DE,167.3,"1,972"
2014,FL,152.9,"43,212"
2014,GA,165.5,"16,684"
2014,HI,140,"2,493"
2014,ID,155.4,"2,795"
2014,IL,168.9,"24,501"
2014,IN,179.7,"13,519"
2014,IA,166,"6,504"
2014,KS,166.8,"5,587"
2014,KY,198.8,"10,263"
2014,LA,186.1,"9,455"
2014,ME,170.3,"3,209"
2014,MD,161.7,"10,759"
2014,MA,155.5,"12,787"
2014,MI,174.1,"21,169"
2014,MN,152.6,"9,649"
2014,MS,193.1,"6,534"
2014,MO,177.7,"13,067"
2014,MT,156.3,"2,066"
2014,NE,159.6,"3,459"
2014,NV,164.5,"5,015"
2014,NH,160.4,"2,698"
2014,NJ,156.1,"16,591"
2014,NM,142.4,"3,478"
2014,NY,151.8,"35,392"
2014,NC,169.3,"19,342"
2014,ND,152.3,"1,304"
2014,OH,177.8,"25,433"
2014,OK,179.9,"7,934"
2014,OR,160.2,"7,863"
2014,PA,169.6,"28,692"
2014,RI,167,"2,242"
2014,SC,171.4,"9,930"
2014,SD,163.4,"1,698"
2014,TN,184.2,"14,172"
2014,TX,152.9,"38,847"
2014,UT,127.4,"3,043"
2014,VT,167.9,"1,379"
2014,VA,161.5,"14,749"
2014,WA,155.5,"12,205"
2014,WV,195.1,"4,880"
2014,WI,161.8,"11,393"
2014,WY,140.7,922
2005,AL,204.4,"9,913"
2005,AK,171,732
2005,AZ,164.2,"9,820"
2005,AR,207.7,"6,361"
2005,CA,168.9,"54,732"
2005,CO,159.7,"6,395"
2005,CT,176.8,"7,052"
2005,DE,199.1,"1,799"
2005,FL,178.4,"40,592"
2005,GA,189.9,"14,358"
2005,HI,151.3,"2,169"
2005,ID,174.6,"2,368"
2005,IL,192.1,"24,250"
2005,IN,199.8,"12,796"
2005,IA,183.7,"6,453"
2005,KS,185.6,"5,428"
2005,KY,219.1,"9,505"
2005,LA,208.6,"9,249"
2005,ME,204.8,"3,218"
2005,MD,190.4,"10,371"
2005,MA,186.3,"13,182"
2005,MI,192.6,"20,094"
2005,MN,169,"8,823"
2005,MS,208.9,"6,065"
2005,MO,198,"12,419"
2005,MT,184.1,"1,956"
2005,NE,175.5,"3,355"
2005,NV,191,"4,238"
2005,NH,189.8,"2,549"
2005,NJ,185,"17,171"
2005,NM,162.9,"3,141"
2005,NY,173.4,"35,556"
2005,NC,191.2,"16,724"
2005,ND,170.5,"1,302"
2005,OH,198.1,"24,702"
2005,OK,198,"7,446"
2005,OR,186.5,"7,326"
2005,PA,195.6,"29,616"
2005,RI,186.8,"2,292"
2005,SC,198.2,"8,652"
2005,SD,182.6,"1,612"
2005,TN,210.3,"12,995"
2005,TX,178.9,"34,291"
2005,UT,140.9,"2,520"
2005,VT,175.9,"1,202"
2005,VA,190,"13,877"
2005,WA,181,"11,048"
2005,WV,207.4,"4,617"
2005,WI,182.8,"10,943"
2005,WY,169.2,886
