YEAR,LocationAbbr,TopicDesc,MeasureDesc,Smoke_Rate,Data_Value_Std_Err,Sample_Size,Gender,Education,GeoLocation
1999,KS,Cigarette Use (Youth),Smoking Status,5.3,1,554,Female,Middle School,"(38.3477403, -98.200781227)"
1999,KS,Cigarette Use (Youth),Smoking Status,5.1,1.4,581,Male,Middle School,"(38.3477403, -98.200781227)"
1999,KS,Smokeless Tobacco Use (Youth),User Status,1.8,0.8,573,Male,Middle School,"(38.3477403, -98.200781227)"
1999,KS,Smokeless Tobacco Use (Youth),User Status,1.2,0.4,1128,Overall,Middle School,"(38.3477403, -98.200781227)"
1999,KS,Smokeless Tobacco Use (Youth),User Status,6.3,1.2,1128,Overall,Middle School,"(38.3477403, -98.200781227)"
1999,KS,Smokeless Tobacco Use (Youth),User Status,17.3,2.4,1108,Overall,Middle School,"(38.3477403, -98.200781227)"
1999,KS,Smokeless Tobacco Use (Youth),User Status,8.1,1.2,543,Female,Middle School,"(38.3477403, -98.200781227)"
1999,KS,Smokeless Tobacco Use (Youth),User Status,26,4,561,Male,Middle School,"(38.3477403, -98.200781227)"
1999,KS,Smokeless Tobacco Use (Youth),User Status,1.5,0.4,551,Female,Middle School,"(38.3477403, -98.200781227)"
1999,KS,Smokeless Tobacco Use (Youth),User Status,10.8,2.2,573,Male,Middle School,"(38.3477403, -98.200781227)"
1999,KS,Smokeless Tobacco Use (Youth),User Status,0.4,0.3,551,Female,Middle School,"(38.3477403, -98.200781227)"
1999,MO,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,58.8,4.3,99,Male,Middle School,"(38.635790776, -92.566300053)"
1999,MO,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,60.1,3.1,210,Overall,Middle School,"(38.635790776, -92.566300053)"
1999,MO,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,61.3,4.6,111,Female,Middle School,"(38.635790776, -92.566300053)"
1999,MO,Cigarette Use (Youth),Smoking Status,14.9,1.5,1489,Overall,Middle School,"(38.635790776, -92.566300053)"
1999,MO,Cigarette Use (Youth),Smoking Status,47.4,2.1,761,Male,Middle School,"(38.635790776, -92.566300053)"
1999,MO,Cigarette Use (Youth),Smoking Status,4.1,1,718,Female,Middle School,"(38.635790776, -92.566300053)"
1999,MO,Cigarette Use (Youth),Smoking Status,47.5,2.3,1492,Overall,Middle School,"(38.635790776, -92.566300053)"
1999,MO,Cigarette Use (Youth),Smoking Status,4.4,0.8,1489,Overall,Middle School,"(38.635790776, -92.566300053)"
1999,MO,Cigarette Use (Youth),Smoking Status,47.7,3.1,723,Female,Middle School,"(38.635790776, -92.566300053)"
1999,MO,Cigarette Use (Youth),Smoking Status,4.7,0.9,763,Male,Middle School,"(38.635790776, -92.566300053)"
1999,MO,Cigarette Use (Youth),Smoking Status,13.7,1.6,763,Male,Middle School,"(38.635790776, -92.566300053)"
1999,MO,Cigarette Use (Youth),Smoking Status,16.3,2,718,Female,Middle School,"(38.635790776, -92.566300053)"
1999,MO,Smokeless Tobacco Use (Youth),User Status,4.6,0.6,1507,Overall,Middle School,"(38.635790776, -92.566300053)"
1999,MO,Smokeless Tobacco Use (Youth),User Status,0.1,0.2,728,Female,Middle School,"(38.635790776, -92.566300053)"
1999,MO,Smokeless Tobacco Use (Youth),User Status,0.7,0.2,1507,Overall,Middle School,"(38.635790776, -92.566300053)"
1999,MO,Smokeless Tobacco Use (Youth),User Status,0.8,0.4,728,Female,Middle School,"(38.635790776, -92.566300053)"
1999,MO,Smokeless Tobacco Use (Youth),User Status,8.2,1,771,Male,Middle School,"(38.635790776, -92.566300053)"
1999,MO,Smokeless Tobacco Use (Youth),User Status,22.7,2.1,766,Male,Middle School,"(38.635790776, -92.566300053)"
1999,MO,Smokeless Tobacco Use (Youth),User Status,14.7,1.2,1503,Overall,Middle School,"(38.635790776, -92.566300053)"
1999,MO,Smokeless Tobacco Use (Youth),User Status,1.1,0.4,771,Male,Middle School,"(38.635790776, -92.566300053)"
1999,MO,Smokeless Tobacco Use (Youth),User Status,6.4,1,729,Female,Middle School,"(38.635790776, -92.566300053)"
1999,MS,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,59.1,3.2,233,Male,High School,"(32.745510099, -89.538030825)"
1999,MS,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,59.9,1.8,469,Overall,High School,"(32.745510099, -89.538030825)"
1999,MS,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,60.4,3.1,234,Female,High School,"(32.745510099, -89.538030825)"
1999,MS,Cigarette Use (Youth),Smoking Status,16.6,1.5,1536,Overall,High School,"(32.745510099, -89.538030825)"
1999,MS,Cigarette Use (Youth),Smoking Status,4.8,0.6,1883,Overall,Middle School,"(32.745510099, -89.538030825)"
1999,MS,Cigarette Use (Youth),Smoking Status,60.3,2.5,900,Male,Middle School,"(32.745510099, -89.538030825)"
1999,MS,Cigarette Use (Youth),Smoking Status,19.4,1.3,986,Female,Middle School,"(32.745510099, -89.538030825)"
1999,MS,Cigarette Use (Youth),Smoking Status,53.7,2.6,1001,Female,Middle School,"(32.745510099, -89.538030825)"
1999,MS,Cigarette Use (Youth),Smoking Status,80.9,1.6,708,Male,High School,"(32.745510099, -89.538030825)"
1999,MS,Cigarette Use (Youth),Smoking Status,5.9,1,890,Male,Middle School,"(32.745510099, -89.538030825)"
1999,MS,Cigarette Use (Youth),Smoking Status,30.7,2.7,818,Female,High School,"(32.745510099, -89.538030825)"
1999,MS,Cigarette Use (Youth),Smoking Status,16.1,1.8,710,Male,High School,"(32.745510099, -89.538030825)"
1999,MS,Cigarette Use (Youth),Smoking Status,16.9,2.1,818,Female,High School,"(32.745510099, -89.538030825)"
1999,MS,Cigarette Use (Youth),Smoking Status,23,1.6,1883,Overall,Middle School,"(32.745510099, -89.538030825)"
1999,MS,Cigarette Use (Youth),Smoking Status,77.2,1.2,1503,Overall,High School,"(32.745510099, -89.538030825)"
1999,MS,Cigarette Use (Youth),Smoking Status,3.6,0.5,986,Female,Middle School,"(32.745510099, -89.538030825)"
1999,MS,Cigarette Use (Youth),Smoking Status,32.5,1.7,1536,Overall,High School,"(32.745510099, -89.538030825)"
1999,MS,Cigarette Use (Youth),Smoking Status,57.2,2.1,1908,Overall,Middle School,"(32.745510099, -89.538030825)"
1999,MS,Cigarette Use (Youth),Smoking Status,26.1,2.4,890,Male,Middle School,"(32.745510099, -89.538030825)"
1999,MS,Cigarette Use (Youth),Smoking Status,34.4,2.1,710,Male,High School,"(32.745510099, -89.538030825)"
1999,MS,Cigarette Use (Youth),Smoking Status,73.6,2,788,Female,High School,"(32.745510099, -89.538030825)"
1999,MS,Smokeless Tobacco Use (Youth),User Status,1.7,0.9,832,Female,High School,"(32.745510099, -89.538030825)"
1999,MS,Smokeless Tobacco Use (Youth),User Status,24.3,2.3,1469,Overall,High School,"(32.745510099, -89.538030825)"
1999,MS,Smokeless Tobacco Use (Youth),User Status,18.2,1.6,710,Male,High School,"(32.745510099, -89.538030825)"
1999,MS,Smokeless Tobacco Use (Youth),User Status,27.6,2.2,897,Male,Middle School,"(32.745510099, -89.538030825)"
1999,MS,Smokeless Tobacco Use (Youth),User Status,0.3,0.2,832,Female,High School,"(32.745510099, -89.538030825)"
1999,MS,Smokeless Tobacco Use (Youth),User Status,9.6,0.9,1550,Overall,High School,"(32.745510099, -89.538030825)"
1999,MS,Smokeless Tobacco Use (Youth),User Status,42.3,3,676,Male,High School,"(32.745510099, -89.538030825)"
1999,MS,Smokeless Tobacco Use (Youth),User Status,2.5,0.5,914,Male,Middle School,"(32.745510099, -89.538030825)"
1999,MS,Smokeless Tobacco Use (Youth),User Status,9.1,0.9,1928,Overall,Middle School,"(32.745510099, -89.538030825)"
1999,MS,Smokeless Tobacco Use (Youth),User Status,0,0,1004,Female,Middle School,"(32.745510099, -89.538030825)"
1999,MS,Smokeless Tobacco Use (Youth),User Status,14.5,1.5,914,Male,Middle School,"(32.745510099, -89.538030825)"
1999,MS,Smokeless Tobacco Use (Youth),User Status,3.2,0.5,1550,Overall,High School,"(32.745510099, -89.538030825)"
1999,MS,Smokeless Tobacco Use (Youth),User Status,18.8,1.4,1910,Overall,Middle School,"(32.745510099, -89.538030825)"
1999,MS,Smokeless Tobacco Use (Youth),User Status,6.4,0.9,710,Male,High School,"(32.745510099, -89.538030825)"
1999,MS,Smokeless Tobacco Use (Youth),User Status,3.5,0.6,1004,Female,Middle School,"(32.745510099, -89.538030825)"
1999,MS,Smokeless Tobacco Use (Youth),User Status,9.6,1.2,1004,Female,Middle School,"(32.745510099, -89.538030825)"
1999,MS,Smokeless Tobacco Use (Youth),User Status,1.3,0.3,1928,Overall,Middle School,"(32.745510099, -89.538030825)"
1999,MS,Smokeless Tobacco Use (Youth),User Status,7.6,1.7,787,Female,High School,"(32.745510099, -89.538030825)"
1999,NC,Cessation (Youth),Percent of Current Smokers Who Want to Quit,54.2,3.4,305,Female,Middle School,"(35.466220975, -79.159250463)"
1999,NC,Cessation (Youth),Percent of Current Smokers Who Want to Quit,49.9,2.7,855,Male,High School,"(35.466220975, -79.159250463)"
1999,NC,Cessation (Youth),Percent of Current Smokers Who Want to Quit,52.7,1.9,878,Female,High School,"(35.466220975, -79.159250463)"
1999,NC,Cessation (Youth),Percent of Current Smokers Who Want to Quit,51.2,1.8,1742,Overall,High School,"(35.466220975, -79.159250463)"
1999,NC,Cessation (Youth),Percent of Current Smokers Who Want to Quit,52.7,3.8,294,Male,Middle School,"(35.466220975, -79.159250463)"
1999,NC,Cessation (Youth),Percent of Current Smokers Who Want to Quit,53.4,2.6,599,Overall,Middle School,"(35.466220975, -79.159250463)"
1999,NC,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,42.5,2.1,898,Male,High School,"(35.466220975, -79.159250463)"
1999,NC,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,51.9,1.6,925,Female,High School,"(35.466220975, -79.159250463)"
1999,NC,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,46.8,1.5,1833,Overall,High School,"(35.466220975, -79.159250463)"
1999,NC,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,52.9,4.4,324,Male,Middle School,"(35.466220975, -79.159250463)"
1999,NC,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,59.6,3.7,330,Female,Middle School,"(35.466220975, -79.159250463)"
1999,NC,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,56,2.8,655,Overall,Middle School,"(35.466220975, -79.159250463)"
1999,NC,Cigarette Use (Youth),Smoking Status,15,1.1,5657,Overall,Middle School,"(35.466220975, -79.159250463)"
1999,NC,Cigarette Use (Youth),Smoking Status,14,1.1,2935,Female,Middle School,"(35.466220975, -79.159250463)"
1999,NC,Cigarette Use (Youth),Smoking Status,16,1.4,2715,Male,Middle School,"(35.466220975, -79.159250463)"
1999,NC,Cigarette Use (Youth),Smoking Status,41.6,2,2729,Male,Middle School,"(35.466220975, -79.159250463)"
1999,NC,Cigarette Use (Youth),Smoking Status,36.9,1.2,2956,Female,Middle School,"(35.466220975, -79.159250463)"
1999,NC,Cigarette Use (Youth),Smoking Status,70,1.1,3087,Male,High School,"(35.466220975, -79.159250463)"
1999,NC,Cigarette Use (Youth),Smoking Status,29.7,1.3,3174,Female,High School,"(35.466220975, -79.159250463)"
1999,NC,Cigarette Use (Youth),Smoking Status,2,0.4,2935,Female,Middle School,"(35.466220975, -79.159250463)"
1999,NC,Cigarette Use (Youth),Smoking Status,66.4,1.6,3243,Female,High School,"(35.466220975, -79.159250463)"
1999,NC,Cigarette Use (Youth),Smoking Status,15.5,1,6149,Overall,High School,"(35.466220975, -79.159250463)"
1999,NC,Cigarette Use (Youth),Smoking Status,3.2,0.4,5657,Overall,Middle School,"(35.466220975, -79.159250463)"
1999,NC,Cigarette Use (Youth),Smoking Status,31.6,1.1,6149,Overall,High School,"(35.466220975, -79.159250463)"
1999,NC,Cigarette Use (Youth),Smoking Status,68.2,1.2,6347,Overall,High School,"(35.466220975, -79.159250463)"
1999,NC,Cigarette Use (Youth),Smoking Status,16.3,1.1,2956,Male,High School,"(35.466220975, -79.159250463)"
1999,NC,Cigarette Use (Youth),Smoking Status,14.8,1.1,3174,Female,High School,"(35.466220975, -79.159250463)"
1999,NC,Cigarette Use (Youth),Smoking Status,33.4,1.3,2956,Male,High School,"(35.466220975, -79.159250463)"
1999,NC,Cigarette Use (Youth),Smoking Status,39.3,1.3,5692,Overall,Middle School,"(35.466220975, -79.159250463)"
1999,NC,Cigarette Use (Youth),Smoking Status,4.5,0.7,2715,Male,Middle School,"(35.466220975, -79.159250463)"
1999,NC,Smokeless Tobacco Use (Youth),User Status,1.8,0.3,3282,Female,High School,"(35.466220975, -79.159250463)"
1999,NC,Smokeless Tobacco Use (Youth),User Status,3.9,0.5,5893,Overall,Middle School,"(35.466220975, -79.159250463)"
1999,NC,Smokeless Tobacco Use (Youth),User Status,14,1.3,3115,Male,High School,"(35.466220975, -79.159250463)"
1999,NC,Smokeless Tobacco Use (Youth),User Status,21.5,1.1,6254,Overall,High School,"(35.466220975, -79.159250463)"
1999,NC,Smokeless Tobacco Use (Youth),User Status,18.4,1.1,2780,Male,Middle School,"(35.466220975, -79.159250463)"
1999,NC,Smokeless Tobacco Use (Youth),User Status,13.2,0.6,5810,Overall,Middle School,"(35.466220975, -79.159250463)"
1999,NC,Smokeless Tobacco Use (Youth),User Status,1.4,0.3,2836,Male,Middle School,"(35.466220975, -79.159250463)"
1999,NC,Smokeless Tobacco Use (Youth),User Status,6.3,0.8,2836,Male,Middle School,"(35.466220975, -79.159250463)"
1999,NC,Smokeless Tobacco Use (Youth),User Status,10.4,0.8,3235,Female,High School,"(35.466220975, -79.159250463)"
1999,NC,Smokeless Tobacco Use (Youth),User Status,0.7,0.2,5893,Overall,Middle School,"(35.466220975, -79.159250463)"
1999,NC,Smokeless Tobacco Use (Youth),User Status,3.8,0.5,3115,Male,High School,"(35.466220975, -79.159250463)"
1999,NC,Smokeless Tobacco Use (Youth),User Status,7.9,0.8,6423,Overall,High School,"(35.466220975, -79.159250463)"
1999,NC,Smokeless Tobacco Use (Youth),User Status,0.1,0.1,3048,Female,Middle School,"(35.466220975, -79.159250463)"
1999,NC,Smokeless Tobacco Use (Youth),User Status,32.9,1.8,2998,Male,High School,"(35.466220975, -79.159250463)"
1999,NC,Smokeless Tobacco Use (Youth),User Status,7.9,0.5,3021,Female,Middle School,"(35.466220975, -79.159250463)"
1999,NC,Smokeless Tobacco Use (Youth),User Status,1.4,0.3,3048,Female,Middle School,"(35.466220975, -79.159250463)"
1999,NC,Smokeless Tobacco Use (Youth),User Status,0.4,0.2,3282,Female,High School,"(35.466220975, -79.159250463)"
1999,NC,Smokeless Tobacco Use (Youth),User Status,2.1,0.3,6423,Overall,High School,"(35.466220975, -79.159250463)"
1999,NE,Cessation (Youth),Percent of Current Smokers Who Want to Quit,52.6,4.7,268,Overall,Middle School,"(41.641040988001, -99.365720623)"
1999,NE,Cessation (Youth),Percent of Current Smokers Who Want to Quit,48.5,5.5,136,Male,Middle School,"(41.641040988001, -99.365720623)"
1999,NE,Cessation (Youth),Percent of Current Smokers Who Want to Quit,57.3,6.2,131,Female,Middle School,"(41.641040988001, -99.365720623)"
1999,NE,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,57.3,5.2,143,Female,Middle School,"(41.641040988001, -99.365720623)"
1999,NE,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,53.9,5.1,152,Male,Middle School,"(41.641040988001, -99.365720623)"
1999,NE,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,55.3,3.9,296,Overall,Middle School,"(41.641040988001, -99.365720623)"
1999,NE,Cigarette Use (Youth),Smoking Status,2.1,0.3,1602,Female,Middle School,"(41.641040988001, -99.365720623)"
1999,NE,Cigarette Use (Youth),Smoking Status,10,1.2,3255,Overall,Middle School,"(41.641040988001, -99.365720623)"
1999,NE,Cigarette Use (Youth),Smoking Status,33.4,2.8,3270,Overall,Middle School,"(41.641040988001, -99.365720623)"
1999,NE,Cigarette Use (Youth),Smoking Status,32.2,3.1,1605,Female,Middle School,"(41.641040988001, -99.365720623)"
1999,NE,Cigarette Use (Youth),Smoking Status,9.8,1.2,1602,Female,Middle School,"(41.641040988001, -99.365720623)"
1999,NE,Cigarette Use (Youth),Smoking Status,34.5,2.6,1660,Male,Middle School,"(41.641040988001, -99.365720623)"
1999,NE,Cigarette Use (Youth),Smoking Status,3.1,0.6,1647,Male,Middle School,"(41.641040988001, -99.365720623)"
1999,NE,Cigarette Use (Youth),Smoking Status,10.2,1.3,1647,Male,Middle School,"(41.641040988001, -99.365720623)"
1999,NE,Cigarette Use (Youth),Smoking Status,2.6,0.4,3255,Overall,Middle School,"(41.641040988001, -99.365720623)"
1999,NE,Smokeless Tobacco Use (Youth),User Status,1.5,0.3,1649,Female,Middle School,"(41.641040988001, -99.365720623)"
1999,NE,Smokeless Tobacco Use (Youth),User Status,16.1,1,1710,Male,Middle School,"(41.641040988001, -99.365720623)"
1999,NE,Smokeless Tobacco Use (Youth),User Status,0.9,0.3,1722,Male,Middle School,"(41.641040988001, -99.365720623)"
1999,NE,Smokeless Tobacco Use (Youth),User Status,8.3,0.6,1651,Female,Middle School,"(41.641040988001, -99.365720623)"
1999,NE,Smokeless Tobacco Use (Youth),User Status,4.7,0.5,1722,Male,Middle School,"(41.641040988001, -99.365720623)"
1999,NE,Smokeless Tobacco Use (Youth),User Status,12.2,0.6,3365,Overall,Middle School,"(41.641040988001, -99.365720623)"
1999,NE,Smokeless Tobacco Use (Youth),User Status,0.6,0.2,3377,Overall,Middle School,"(41.641040988001, -99.365720623)"
1999,NE,Smokeless Tobacco Use (Youth),User Status,3.2,0.3,3377,Overall,Middle School,"(41.641040988001, -99.365720623)"
1999,NE,Smokeless Tobacco Use (Youth),User Status,0.2,0.1,1649,Female,Middle School,"(41.641040988001, -99.365720623)"
1999,NJ,Cessation (Youth),Percent of Current Smokers Who Want to Quit,56.5,2.3,673,Male,High School,"(40.130570048, -74.273691288)"
1999,NJ,Cessation (Youth),Percent of Current Smokers Who Want to Quit,49.3,3,292,Female,Middle School,"(40.130570048, -74.273691288)"
1999,NJ,Cessation (Youth),Percent of Current Smokers Who Want to Quit,56.4,2.5,1405,Overall,High School,"(40.130570048, -74.273691288)"
1999,NJ,Cessation (Youth),Percent of Current Smokers Who Want to Quit,49.4,2.4,549,Overall,Middle School,"(40.130570048, -74.273691288)"
1999,NJ,Cessation (Youth),Percent of Current Smokers Who Want to Quit,49.2,4.1,256,Male,Middle School,"(40.130570048, -74.273691288)"
1999,NJ,Cessation (Youth),Percent of Current Smokers Who Want to Quit,56.4,4,720,Female,High School,"(40.130570048, -74.273691288)"
1999,NJ,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,53,3.8,304,Male,Middle School,"(40.130570048, -74.273691288)"
1999,NJ,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,46.9,2.7,777,Male,High School,"(40.130570048, -74.273691288)"
1999,NJ,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,49.5,2.8,813,Female,High School,"(40.130570048, -74.273691288)"
1999,NJ,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,49.6,3.2,351,Female,Middle School,"(40.130570048, -74.273691288)"
1999,NJ,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,51.2,2.5,656,Overall,Middle School,"(40.130570048, -74.273691288)"
1999,NJ,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,48.3,2.2,1604,Overall,High School,"(40.130570048, -74.273691288)"
1999,NJ,Cigarette Use (Youth),Smoking Status,2.2,0.4,8371,Overall,Middle School,"(40.130570048, -74.273691288)"
